15
Karachi
Lahore
Islamabad
Rawalpindi
Peshawar
Quetta
Multan
Faisalabad
Hyderabad
Sukkur
Larkana
Bahawalpur
Sialkot
Gujranwala
Khanewal
0|5|683|620
0|8|163|150
1|3|365|330
1|6|340|310
1|7|130|120
1|13|64|56
1|14|257|240
2|3|10|15
2|4|165|150
3|1|365|330
3|2|10|15
3|4|155|140
4|2|165|150
4|3|155|140
5|0|683|620
5|6|670|610
6|1|340|310
6|5|670|610
6|11|100|90
6|14|86|78
7|1|130|120
7|14|180|165
8|0|163|150
8|9|393|360
9|8|393|360
9|10|80|70
9|11|380|350
10|9|80|70
11|6|100|90
11|9|380|350
12|13|65|58
13|1|64|56
13|12|65|58
14|1|257|240
14|6|86|78
14|7|180|165
